BudgetCode,AvgAnnualCostCHF,TotalValueCHF,TotalVolumeM3,TotalWeightKG,CHF_per_Value,CHF_per_m3,CHF_per_kg
MEAN,,,,,,,
MEDIAN,,,,,,,
